Match_Id,Venue_Id,Team1,Team2,Match_Date,SeasonNo,winner,matchMVP,.
335987,1,Royal Challengers Bangalore,Kolkata Knight Riders,2008-04-18,1,Kolkata Knight Riders,2,
335988,2,Kings XI punjab,Chennai Super Kings,2008-04-19,1,Chennai Super Kings,19,
335989,3,Delhi Daredevils,Rajasthan Royals,2008-04-19,1,Delhi Daredevils,90,
335990,4,Mumbai Indians,Royal Challengers Bangalore,2008-04-20,1,Royal Challengers Bangalore,11,
335991,5,Kolkata Knight Riders,Deccan Chargers,2008-04-20,1,Kolkata Knight Riders,4,
335992,6,Rajasthan Royals,Kings XI punjab,2008-04-21,1,Rajasthan Royals,32,
335993,7,Deccan Chargers,Delhi Daredevils,2008-04-22,1,Delhi Daredevils,41,
335994,8,Chennai Super Kings,Mumbai Indians,2008-04-23,1,Chennai Super Kings,18,
335995,7,Deccan Chargers,Rajasthan Royals,2008-04-24,1,Rajasthan Royals,31,
335996,2,Kings XI punjab,Mumbai Indians,2008-04-25,1,Kings XI punjab,26,
335997,1,Royal Challengers Bangalore,Rajasthan Royals,2008-04-26,1,Rajasthan Royals,32,
335998,8,Chennai Super Kings,Kolkata Knight Riders,2008-04-26,1,Chennai Super Kings,22,
335999,9,Mumbai Indians,Deccan Chargers,2008-04-27,1,Deccan Chargers,53,
336000,2,Kings XI punjab,Delhi Daredevils,2008-04-27,1,Kings XI punjab,28,
336001,1,Royal Challengers Bangalore,Chennai Super Kings,2008-04-28,1,Chennai Super Kings,20,
336002,5,Kolkata Knight Riders,Mumbai Indians,2008-04-29,1,Mumbai Indians,44,
336003,3,Delhi Daredevils,Royal Challengers Bangalore,2008-04-30,1,Delhi Daredevils,118,
336004,7,Deccan Chargers,Kings XI punjab,2008-05-01,1,Kings XI punjab,100,
336005,6,Rajasthan Royals,Kolkata Knight Riders,2008-05-01,1,Rajasthan Royals,101,
336006,8,Chennai Super Kings,Delhi Daredevils,2008-05-02,1,Delhi Daredevils,41,
336007,7,Deccan Chargers,Royal Challengers Bangalore,2008-05-25,1,Royal Challengers Bangalore,81,
336008,2,Kings XI punjab,Kolkata Knight Riders,2008-05-03,1,Kings XI punjab,29,
336009,9,Mumbai Indians,Delhi Daredevils,2008-05-04,1,Mumbai Indians,49,
336010,6,Rajasthan Royals,Chennai Super Kings,2008-05-04,1,Rajasthan Royals,102,
336011,1,Royal Challengers Bangalore,Kings XI punjab,2008-05-05,1,Kings XI punjab,77,
336012,8,Chennai Super Kings,Deccan Chargers,2008-05-06,1,Deccan Chargers,53,
336013,9,Mumbai Indians,Rajasthan Royals,2008-05-07,1,Mumbai Indians,73,
336014,3,Delhi Daredevils,Chennai Super Kings,2008-05-08,1,Chennai Super Kings,20,
336015,5,Kolkata Knight Riders,Royal Challengers Bangalore,2008-05-08,1,Kolkata Knight Riders,1,
336016,6,Rajasthan Royals,Deccan Chargers,2008-05-09,1,Rajasthan Royals,31,
336017,1,Royal Challengers Bangalore,Mumbai Indians,2008-05-28,1,Mumbai Indians,149,
336018,8,Chennai Super Kings,Kings XI punjab,2008-05-10,1,Chennai Super Kings,151,
336019,7,Deccan Chargers,Kolkata Knight Riders,2008-05-11,1,Kolkata Knight Riders,1,
336020,6,Rajasthan Royals,Delhi Daredevils,2008-05-11,1,Rajasthan Royals,32,
336021,2,Kings XI punjab,Royal Challengers Bangalore,2008-05-12,1,Kings XI punjab,100,
336022,5,Kolkata Knight Riders,Delhi Daredevils,2008-05-13,1,Kolkata Knight Riders,144,
336023,4,Mumbai Indians,Chennai Super Kings,2008-05-14,1,Mumbai Indians,44,
336024,2,Kings XI punjab,Rajasthan Royals,2008-05-28,1,Kings XI punjab,100,
336025,3,Delhi Daredevils,Deccan Chargers,2008-05-15,1,Delhi Daredevils,136,
336026,4,Mumbai Indians,Kolkata Knight Riders,2008-05-16,1,Mumbai Indians,49,
336027,3,Delhi Daredevils,Kings XI punjab,2008-05-17,1,Kings XI punjab,64,
336028,6,Rajasthan Royals,Royal Challengers Bangalore,2008-05-17,1,Rajasthan Royals,74,
336029,7,Deccan Chargers,Mumbai Indians,2008-05-18,1,Mumbai Indians,71,
336030,5,Kolkata Knight Riders,Chennai Super Kings,2008-05-18,1,Chennai Super Kings,122,
336031,1,Royal Challengers Bangalore,Delhi Daredevils,2008-05-19,1,Delhi Daredevils,132,
336032,5,Kolkata Knight Riders,Rajasthan Royals,2008-05-20,1,Rajasthan Royals,31,
336033,4,Mumbai Indians,Kings XI punjab,2008-05-21,1,Kings XI punjab,100,
336034,8,Chennai Super Kings,Royal Challengers Bangalore,2008-05-21,1,Royal Challengers Bangalore,124,
336036,2,Kings XI punjab,Deccan Chargers,2008-05-23,1,Kings XI punjab,100,
336037,3,Delhi Daredevils,Mumbai Indians,2008-05-24,1,Delhi Daredevils,88,
336038,8,Chennai Super Kings,Rajasthan Royals,2008-05-24,1,Rajasthan Royals,109,
336039,1,Royal Challengers Bangalore,Deccan Chargers,2008-05-03,1,Royal Challengers Bangalore,14,
336040,5,Kolkata Knight Riders,Kings XI punjab,2008-05-25,1,Kolkata Knight Riders,105,
336041,6,Rajasthan Royals,Mumbai Indians,2008-05-26,1,Rajasthan Royals,102,
336042,7,Deccan Chargers,Chennai Super Kings,2008-05-27,1,Chennai Super Kings,21,
336043,4,Delhi Daredevils,Rajasthan Royals,2008-05-30,1,Rajasthan Royals,32,
336044,4,Chennai Super Kings,Kings XI punjab,2008-05-31,1,Chennai Super Kings,122,
336045,9,Chennai Super Kings,Rajasthan Royals,2008-06-01,1,Rajasthan Royals,31,
