Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name,Player_team,.
1,SC Ganguly,1972/07/08,Left-hand bat,Right-arm medium,India,Kolkata Knight Riders,
2,BB McCullum,1981/09/27,Right-hand bat,Right-arm medium,New Zealand,Kolkata Knight Riders,
3,RT Ponting,1974/12/19,Right-hand bat,Right-arm medium,Australia,Kolkata Knight Riders,
4,DJ Hussey,1977/07/15,Right-hand bat,Right-arm offbreak,Australia,Kolkata Knight Riders,
5,Mohammad Hafeez,1980/10/17,Right-hand bat,Right-arm offbreak,Pakistan,Kolkata Knight Riders,
6,R Dravid,1973/01/11,Right-hand bat,Right-arm offbreak,India,Royal Challengers Bangalore,
7,W Jaffer,1978/02/16,Right-hand bat,Right-arm offbreak,India,Royal Challengers Bangalore,
8,V Kohli,1988/11/05,Right-hand bat,Right-arm medium,India,Royal Challengers Bangalore,
9,JH Kallis,1975/10/16,Right-hand bat,Right-arm fast-medium,South Africa,Royal Challengers Bangalore,
10,CL White,1983/08/18,Right-hand bat,Legbreak googly,Australia,Royal Challengers Bangalore,
11,MV Boucher,1976/12/03,Right-hand bat,Right-arm medium,South Africa,Royal Challengers Bangalore,
12,B Akhil,1977/10/07,Right-hand bat,Right-arm medium-fast,India,Royal Challengers Bangalore,
13,AA Noffke,1977/04/30,Right-hand bat,Right-arm fast-medium,Australia,Royal Challengers Bangalore,
14,P Kumar,1986/10/02,Right-hand bat,Right-arm medium,India,Royal Challengers Bangalore,
15,Z Khan,1978/10/07,Right-hand bat,Left-arm fast-medium,India,Royal Challengers Bangalore,
16,SB Joshi,1970/06/06,Left-hand bat,Slow left-arm orthodox,India,Royal Challengers Bangalore,
17,PA Patel,1985/03/09,Left-hand bat,NULL,India,Chennai Super Kings,
18,ML Hayden,1971/10/29,Left-hand bat,Right-arm medium,Australia,Chennai Super Kings,
19,MEK Hussey,1975/05/27,Left-hand bat,Right-arm medium,Australia,Chennai Super Kings,
20,MS Dhoni,1981/07/07,Right-hand bat,Right-arm medium,India,Chennai Super Kings,
21,SK Raina,1986/11/27,Left-hand bat,Right-arm offbreak,India,Chennai Super Kings,
22,JDP Oram,1978/07/28,Left-hand bat,Right-arm fast-medium,New Zealand,Chennai Super Kings,
23,S Badrinath,1980/08/30,Right-hand bat,Right-arm offbreak,India,Chennai Super Kings,
24,K Goel,1986/12/24,Left-hand bat,Right-arm offbreak,India,Kings XI Punjab,
25,JR Hopes,1978/10/24,Right-hand bat,Right-arm medium,Australia,Kings XI Punjab,
26,KC Sangakkara,1977/10/27,Left-hand bat,Right-arm offbreak,Sri Lanka,Kings XI Punjab,
27,Yuvraj Singh,1981/12/12,Left-hand bat,Slow left-arm orthodox,India,Kings XI Punjab,
28,SM Katich,1975/08/21,Left-hand bat,Slow left-arm chinaman,Australia,Kings XI Punjab,
29,IK Pathan,1984/10/27,Left-hand bat,Left-arm medium-fast,India,Kings XI Punjab,
30,T Kohli,1988/12/17,Right-hand bat,Right-arm medium,India,Rajasthan Royals,
31,YK Pathan,1982/11/17,Right-hand bat,Right-arm offbreak,India,Rajasthan Royals,
