Id,Innings,NumOuts,Runs,Ave,.
100,11,2,616,68.44,
40,14,1,534,41.07,
44,14,2,514,42.83,
32,15,5,472,47.2,
74,11,2,441,49,
53,14,1,436,33.53,
31,15,1,435,31.07,
21,14,3,421,38.27,
20,14,4,414,41.4,
41,14,2,406,33.83,
57,12,1,404,36.72,
6,14,1,371,28.53,
1,13,1,349,29.08,
42,14,5,340,37.77,
26,9,0,320,35.55,
46,14,5,320,35.55,
4,13,2,319,29,
101,9,0,311,34.55,
17,13,2,302,27.45,
27,14,1,299,23,
54,10,2,288,36,
109,10,3,241,34.42,
11,10,3,225,32.14,
25,11,0,221,20.09,
48,10,2,206,25.75,
9,11,0,199,18.09,
107,10,1,196,21.77,
103,7,0,193,27.57,
23,11,5,192,32,
18,4,1,189,63,
2,4,1,188,62.66,
133,7,1,188,31.33,
64,12,5,179,25.57,
71,7,1,178,29.66,
33,14,3,176,16,
19,3,1,168,84,
97,9,0,167,18.55,
8,12,1,165,15,
63,12,4,163,20.37,
56,3,1,161,80.5,
62,10,5,159,31.8,
55,6,1,155,31,
139,5,4,152,152,
52,4,0,149,37.25,
49,8,0,147,18.37,
88,8,2,145,24.16,
108,8,0,145,18.12,
35,9,2,135,19.28,
29,10,4,131,21.83,
69,6,1,128,25.6,
