Id,Player,team,Matches played,Innings,NumOuts,Runs,Strike rate,.
100,SE Marsh,Kings XI Punjab,11,11,2,616,139.68,
40,G Gambhir,Delhi Daredevils,14,14,1,534,140.89,
44,ST Jayasuriya,Mumbai Indians,14,14,2,514,166.34,
32,SR Watson,Rajasthan Royals,15,15,5,472,151.76,
74,GC Smith,Rajasthan Royals,11,11,2,441,121.82,
53,AC Gilchrist,Deccan Chargers,14,14,1,436,137.1,
31,YK Pathan,Rajasthan Royals,16,15,1,435,179.01,
21,SK Raina,Chennai Super Kings,16,14,3,421,142.71,
20,MS Dhoni,Chennai Super Kings,16,14,4,414,133.54,
41,V Sehwag,Delhi Daredevils,14,14,2,406,184.54,
57,RG Sharma,Deccan Chargers,13,12,1,404,147.98,
6,R Dravid,Royal Challengers Bangalore,14,14,1,371,124.49,
1,SC Ganguly,Kolkata Knight Riders,13,13,1,349,113.68,
42,S Dhawan,Delhi Daredevils,14,14,5,340,115.25,
26,KC Sangakkara,Kings XI Punjab,10,9,0,320,161.61,
46,RV Uthappa,Mumbai Indians,14,14,5,320,114.69,
4,DJ Hussey,Kolkata Knight Riders,13,13,2,319,123.16,
101,SA Asnodkar,Rajasthan Royals,9,9,0,311,133.47,
17,PA Patel,Chennai Super Kings,13,13,2,302,101.68,
27,Yuvraj Singh,Kings XI Punjab,15,14,1,299,162.5,
54,Y Venugopal Rao,Deccan Chargers,11,10,2,288,137.14,
109,JA Morkel,Chennai Super Kings,13,10,3,241,147.85,
11,MV Boucher,Royal Challengers Bangalore,10,10,3,225,127.11,
25,JR Hopes,Kings XI Punjab,11,11,0,221,149.32,
48,AM Nayar,Mumbai Indians,14,10,2,206,149.27,
9,JH Kallis,Royal Challengers Bangalore,11,11,0,199,108.74,
107,SP Fleming,Chennai Super Kings,10,10,1,196,118.78,
103,Salman Butt,Kolkata Knight Riders,7,7,0,193,119.87,
23,S Badrinath,Chennai Super Kings,16,11,5,192,147.69,
18,ML Hayden,Chennai Super Kings,4,4,1,189,144.27,
2,BB McCullum,Kolkata Knight Riders,4,4,1,188,204.34,
133,SR Tendulkar,Mumbai Indians,7,7,1,188,106.21,
64,DPMD Jayawardene,Kings XI Punjab,13,12,5,179,136.64,
71,DJ Bravo,Mumbai Indians,9,7,1,178,132.83,
33,M Kaif,Rajasthan Royals,16,14,3,176,102.92,
19,MEK Hussey,Chennai Super Kings,4,3,1,168,168,
97,HH Gibbs,Deccan Chargers,9,9,0,167,109.15,
8,V Kohli,Royal Challengers Bangalore,13,12,1,165,105.09,
63,LR Shukla,Kolkata Knight Riders,13,12,4,163,133.6,
56,A Symonds,Deccan Chargers,4,3,1,161,153.33,
62,WP Saha,Kolkata Knight Riders,12,10,5,159,133.61,
55,VVS Laxman,Deccan Chargers,6,6,1,155,117.42,
139,LA Pomersbach,Kings XI Punjab,5,5,4,152,153.53,
52,LRPL Taylor,Royal Challengers Bangalore,4,4,0,149,183.95,
49,SM Pollock,Mumbai Indians,13,8,0,147,132.43,
88,KD Karthik,Delhi Daredevils,13,8,2,145,135.51,
108,S Vidyut,Chennai Super Kings,9,8,0,145,133.02,
35,RA Jadeja,Rajasthan Royals,14,9,2,135,131.06,
29,IK Pathan,Kings XI Punjab,14,10,4,131,112.93,
69,Kamran Akmal,Rajasthan Royals,6,6,1,128,164.1,
